005477,70
000423,71
001143,70
002357,70
005217,38
006776,70
006806,32
008225,68
008906,68
010910,68
011089,37
011272,37
011456,68
011542,38
011717,68
013257,70
013325,38
013492,38
013660,38
013825,38
013971,38
014107,38
014274,38
014421,38
014560,38
014693,38
014860,38
015004,38
015157,38
015308,38
015458,38
015624,38
015807,38
015941,38
016107,38
016253,38
016411,38
016740,38
016859,38
017040,70
017040,39
017206,39
017395,38
017556,38
017707,38
017873,38
018023,38
018177,38
018213,32
018354,38
018509,38
018672,38
018831,38
018907,32
018990,38
019140,38
019348,38
019487,38
019584,38
019652,38
019807,38
019990,38
020121,71
020156,38
020157,32
020325,38
020496,38
020509,38
020663,38
020813,38
021109,40
021308,37
021507,38
021711,38
021754,71
021799,70
021840,38
021884,38
022066,38
022292,38
022572,38
023731,71
024872,68
024963,71
025158,38
025271,70
025271,40
026338,39
026540,68
026587,71
027687,39
027857,68
027999,71
028832,83
028873,39
028989,68
029134,71
029348,38
029848,71
029990,32
029990,39
030139,68
030618,71
030955,39
031006,37
031089,68
031166,71
031169,70
031230,37
031881,71
032067,39
032216,68
032358,40
032480,71
033035,71
033083,39
033201,68
033272,40
033485,71
033511,71
033915,71
034036,39
034153,68
034218,71
034484,71
034501,38
034677,38
034702,71
034997,71
035015,39
035099,68
035175,37
035185,71
035379,40
035380,71
035561,37
035614,71
035813,71
035937,39
036040,68
036099,71
036317,71
036369,38
036454,70
036521,70
037417,71
037420,40
037617,71
037851,71
038035,38
038067,71
038284,71
038376,32
038483,71
038686,71
038916,71
038988,38
039140,71
039172,39
039335,71
039398,39
039586,71
039806,39
040038,83
040043,39
040285,39
040477,40
040708,39
040713,71
040992,32
041171,70
041869,83
042135,72
042934,83
043153,70
044432,38
046166,83
046983,83
047881,39
048082,38
048915,39
049054,83
049748,39
049781,38
049881,83
050748,83
050864,38
050864,39
051549,83
051846,38
051846,39
052697,83
052882,38
052882,39
053181,83
054480,71
056081,70
057749,32
